Student_ID,Study_Hours,Assignments_Completed,Exam_Scores,Learning_Style,Linguistic,Logical_Mathematical,Spatial,Musical,Bodily_Kinesthetic,Interpersonal,Intrapersonal,Naturalistic,Existential,Cluster,Final_Cluster
1,4.370861069626263,5,50.48998187747992,1,9.686167679142969,1.6064609930697027,9.13381814597628,6.892381678206692,3.59204811331637,3.197454478445377,3.176543758738178,9.061537199636032,4.16548100211087,2,2
2,9.556428757689245,0,61.11615907920732,1,5.395547170584456,4.486533271017934,8.612645954139708,8.413906562192107,6.006952065313714,6.382082055958747,4.833977675215853,1.2604988506903037,4.961622958274738,0,0
3,7.587945476302646,8,62.653197384448205,1,2.3560849693888963,8.666571131865528,4.6084758622574205,1.568262636346522,1.262396674198801,4.465923425407267,9.70968542350344,3.1568120646180096,1.6237699573446536,3,3
4,6.387926357773329,0,52.728771224181926,1,4.0814527243019185,4.635080777531114,7.867975272411774,7.991114350665044,9.165240499207652,8.693252009193353,6.9198884494534,1.2915022399839555,6.203965431009605,0,0
5,2.4041677639819286,4,44.010876301155115,0,4.720748043657353,1.6985318025829677,8.408447476379735,8.394831396655942,2.406553385947986,9.571737753969792,6.079558423050907,4.022591383353844,6.378691958820103,0,0
6,2.403950683025824,3,41.33774801132948,0,7.823665099688836,5.882809316790263,8.999986816032667,5.153706348297462,2.980798091842479,8.952082555331714,9.396609629754046,5.624798731419444,7.6503740981452495,2,2
7,1.5227525095137953,2,42.12305736955884,1,7.6908140746894835,8.755682454264658,5.900551921443052,9.849750911366206,5.664485588028817,3.43557995224237,6.2786060293370385,8.169803821136242,1.2625290306166896,2,2
8,8.795585311974417,5,68.60807249335345,0,6.507464548035979,6.312569886578437,2.8401479744924063,8.080375066365782,7.3910328970355135,2.7474658214147403,5.7347426657566265,4.041833954228525,5.871143929904472,5,5
9,6.41003510568888,1,49.42527448797124,1,1.9533764130264366,3.036511973928086,3.297781688535385,7.962963084060992,1.8615614926995758,5.269914042586615,7.833797696351847,7.349410222058051,1.4761668994359796,2,2
10,7.372653200164409,2,61.91460861731447,2,2.3641243442890625,4.458156581236432,3.6612520663744377,7.730547169708646,3.8592522779244596,1.0660073575256224,7.4139905708789,2.6875401140708233,7.310297979699881,0,0
11,1.185260448662222,4,36.15046470798718,2,1.8438122858100097,5.0511102506373895,6.3442223272865395,2.355472928964466,9.718071450169214,1.2322845357686356,2.7384400756758946,7.755386110697137,1.5015518713088603,2,2
12,9.72918866945795,8,78.26724404309516,2,6.194555049587951,6.213397184384742,1.295286617157476,2.9550779780770973,3.3610867010285115,5.979615756607001,5.241774471167091,3.123969453183138,9.205550635074694,5,5
13,8.491983767203795,1,60.44145759145331,1,8.894245973602636,7.834159231773517,6.724382219019715,5.175911183179825,3.817451305568322,5.684044637487574,5.252638985376267,2.2919028034939113,7.318743101960469,5,5
14,2.9110519961044856,9,55.1854237917435,2,4.904204610292946,1.8898625587657185,4.2791881458540875,3.3760391496351927,8.528486415562302,9.95123790131734,4.4040206371901025,2.668679653366489,5.566507885766414,4,4
15,2.636424704863906,7,53.53993922580231,0,2.4476335656197157,9.006868297158096,3.6571762224067794,4.737168751006364,1.4519298852140974,2.816576518273823,5.655641339370278,2.6385681599366984,4.9735353095305745,3,3
16,2.650640588680904,1,33.6963538841162,2,6.022380926340703,1.1107873271446804,8.915469136553138,8.996176989306285,5.181518519280738,3.3229353624442157,4.7179665795442975,5.61576591439292,2.1760536737193616,2,2
17,3.7381801866358395,4,53.83467565594202,2,8.305769951791389,4.330471012068298,5.14002156022719,8.418942026913424,4.416550880065032,2.0218657809365803,2.7941094052406483,8.603178230693315,3.6189945060819677,2,2
18,5.72280788469014,6,58.24391297185548,2,7.67540855361637,1.2467827897539188,1.855477409794235,6.67035890631984,3.8492808391778603,9.257887086883702,4.71129838547213,1.7164456929325507,8.820631945188065,4,4
19,4.887505167779041,7,56.04890040074193,0,8.933057017075193,4.5367680281076215,8.440720912236223,8.723083548259932,3.571296346402881,8.000301200126057,1.6504925281585894,7.362606866440804,9.140075304062446,4,4
